#chrom	start	end	tmp/bam/control.bam_cov	tmp/bam/deleted.bam_cov	tmp/bam/inverted.bam_cov	tmp/bam/control.bam_count	tmp/bam/deleted.bam_count	tmp/bam/inverted.bam_count
chr01	860000	870000	150481	157824	141192	1014	1073	952
chr01	870000	880000	152340	159821	152671	1033	1084	1033
chr01	880000	890000	150031	150428	130245	1018	1024	883
chr01	890000	900000	136596	148664	145563	930	1010	991
chr01	900000	910000	141248	158452	156779	958	1077	1060
chr01	910000	920000	140508	145105	144525	953	985	979
chr01	920000	930000	148012	142536	138803	1002	965	938
chr01	930000	940000	161210	152227	160199	1086	1032	1082
chr01	940000	950000	144046	156286	144367	974	1058	975
chr01	950000	960000	146781	147042	145277	985	997	986
chr01	960000	970000	136735	142021	140830	920	964	953
chr01	970000	980000	147036	152523	141953	991	1036	961
chr01	980000	990000	135123	157571	145153	918	1070	982
chr01	990000	1000000	165349	146926	152400	1115	996	1026
chr01	1000000	1010000	147137	3	152328	996	1	1035
chr01	1010000	1020000	156111	0	149785	1057	0	1009
chr01	1020000	1030000	144851	7725	140684	984	52	950
chr01	1030000	1040000	145910	1271	137095	992	10	925
chr01	1040000	1050000	150480	0	144496	1021	0	976
chr01	1050000	1060000	147657	0	146872	1003	0	991
chr01	1060000	1070000	146192	0	144687	990	0	983
chr01	1070000	1080000	137801	0	151851	935	0	1026
chr01	1080000	1090000	147724	0	155611	999	0	1049
chr01	1090000	1100000	137482	0	149542	930	0	1009
chr01	1100000	1110000	131485	0	137781	893	0	932
chr01	1110000	1120000	145211	0	150077	980	0	1017
chr01	1120000	1130000	150066	0	142888	1016	0	970
chr01	1130000	1140000	142684	0	151117	962	0	1022
chr01	1140000	1150000	140995	0	146498	955	0	990
chr01	1150000	1160000	146945	0	139520	998	0	943
chr01	1160000	1170000	147712	0	134898	999	0	917
chr01	1170000	1180000	158341	0	142655	1072	0	965
chr01	1180000	1190000	155114	0	153051	1044	0	1040
chr01	1190000	1200000	159286	0	145552	1077	0	990
chr01	1200000	1210000	155177	0	138968	1051	0	940
chr01	1210000	1220000	151684	0	154751	1029	0	1045
chr01	1220000	1230000	149107	0	148172	1003	0	1002
chr01	1230000	1240000	144412	0	165449	976	0	1118
chr01	1240000	1250000	143166	0	137698	963	0	930
chr01	1250000	1260000	136200	0	146714	922	0	993
chr01	1260000	1270000	140281	0	143036	951	0	967
chr01	1270000	1280000	143245	0	135214	971	0	922
chr01	1280000	1290000	149113	0	153930	1010	0	1040
chr01	1290000	1300000	140963	0	139443	959	0	944
chr01	1300000	1310000	140615	0	146487	949	0	994
chr01	1310000	1320000	151401	0	149542	1024	0	1014
chr01	1320000	1330000	148013	0	156017	997	0	1055
chr01	1330000	1340000	146421	0	153999	985	0	1039
chr01	1340000	1350000	144946	0	143422	983	0	969
chr01	1350000	1360000	157615	0	143982	1071	0	973
chr01	1360000	1370000	155730	0	155236	1058	0	1049
chr01	1370000	1380000	141098	0	140013	954	0	945
chr01	1380000	1390000	131929	0	147579	896	0	995
chr01	1390000	1400000	151074	0	142365	1024	0	963
chr01	1400000	1410000	161314	0	155261	1095	0	1046
chr01	1410000	1420000	161721	0	148680	1095	0	1007
chr01	1420000	1430000	150482	0	148682	1026	0	1005
chr01	1430000	1440000	147721	0	135517	999	0	918
chr01	1440000	1450000	143043	0	148786	968	0	1009
chr01	1450000	1460000	146199	0	137940	990	0	930
chr01	1460000	1470000	149812	0	151407	1011	0	1024
chr01	1470000	1480000	138072	0	151900	940	0	1024
chr01	1480000	1490000	143827	0	141844	975	0	958
chr01	1490000	1500000	145233	0	151893	986	0	1026
chr01	1500000	1510000	138955	0	145323	943	0	988
chr01	1510000	1520000	150141	0	142236	1013	0	966
chr01	1520000	1530000	136996	0	147055	927	0	994
chr01	1530000	1540000	142468	0	154803	964	0	1048
chr01	1540000	1550000	155960	0	150625	1052	0	1022
chr01	1550000	1560000	140258	0	148143	947	0	1005
chr01	1560000	1570000	139794	0	157880	945	0	1074
chr01	1570000	1580000	142491	0	149155	967	0	1014
chr01	1580000	1590000	152043	0	138414	1036	0	938
chr01	1590000	1600000	145602	0	146898	985	0	990
chr01	1600000	1610000	139446	0	148823	948	0	1003
chr01	1610000	1620000	154691	0	149224	1045	0	1007
chr01	1620000	1630000	144532	0	151990	981	0	1026
chr01	1630000	1640000	140407	0	148433	949	0	1007
chr01	1640000	1650000	150719	0	140121	1020	0	947
chr01	1650000	1660000	146584	0	136029	995	0	924
chr01	1660000	1670000	149438	0	147404	1013	0	994
chr01	1670000	1680000	141642	0	167357	963	0	1129
chr01	1680000	1690000	151295	0	143439	1024	0	974
chr01	1690000	1700000	146629	0	146810	997	0	997
chr01	1700000	1710000	148677	0	147794	1012	0	996
chr01	1710000	1720000	143499	0	148054	971	0	1000
chr01	1720000	1730000	136847	0	137783	925	0	932
chr01	1730000	1740000	135711	0	150870	916	0	1020
chr01	1740000	1750000	152807	0	139747	1035	0	948
chr01	1750000	1760000	152960	0	161565	1034	0	1095
chr01	1760000	1770000	156419	0	141621	1057	0	961
chr01	1770000	1780000	148749	0	148228	1002	0	1007
chr01	1780000	1790000	144060	0	149947	970	0	1016
chr01	1790000	1800000	148176	0	136842	1001	0	922
chr01	1800000	1810000	148326	0	139287	1003	0	943
chr01	1810000	1820000	153277	0	144419	1037	0	977
chr01	1820000	1830000	156643	0	140009	1062	0	947
chr01	1830000	1840000	169416	0	162005	1147	0	1099
chr01	1840000	1850000	154152	0	153840	1044	0	1040
chr01	1850000	1860000	149443	0	146820	1016	0	992
chr01	1860000	1870000	155489	0	143155	1052	0	969
chr01	1870000	1880000	149848	0	141836	1017	0	962
chr01	1880000	1890000	154841	0	148983	1045	0	1009
chr01	1890000	1900000	137218	0	143914	926	0	974
chr01	1900000	1910000	145572	0	148964	980	0	1008
chr01	1910000	1920000	142714	0	141631	966	0	962
chr01	1920000	1930000	132498	0	150271	894	0	1013
chr01	1930000	1940000	148674	0	149238	1007	0	1005
chr01	1940000	1950000	158475	0	146691	1073	0	994
chr01	1950000	1960000	154605	0	146103	1049	0	992
chr01	1960000	1970000	140788	0	151237	953	0	1027
chr01	1970000	1980000	158055	0	142317	1066	0	966
chr01	1980000	1990000	149005	0	147574	1003	0	1000
chr01	1990000	2000000	158645	0	154149	1076	0	1054
chr01	2000000	2010000	151822	144623	152427	1026	977	1027
chr01	2010000	2020000	142967	141900	144641	968	962	977
chr01	2020000	2030000	145633	140334	134738	988	953	916
chr01	2030000	2040000	149189	157695	150560	1010	1066	1016
chr01	2040000	2050000	143755	136950	145031	974	926	977
chr01	2050000	2060000	147505	153451	143855	994	1037	973
chr01	2060000	2070000	145143	160110	146804	977	1079	992
chr01	2070000	2080000	132993	153328	147689	902	1033	995
chr01	2080000	2090000	150950	145757	154895	1019	986	1046
chr01	2090000	2100000	149442	154784	145429	1017	1048	985
chr01	2100000	2110000	139474	157578	142896	945	1065	965
chr01	2110000	2120000	148930	154026	152154	1007	1041	1024
chr01	2120000	2130000	154841	156364	149752	1052	1057	1013
chr01	2130000	2140000	152357	143593	150317	1033	969	1019
chr01	2140000	2150000	137963	157663	145113	935	1064	991
chr01	2150000	2160000	150372	142669	147413	1016	967	1005
chr01	2160000	2170000	141468	155452	155252	955	1049	1047
chr01	2170000	2180000	143748	143940	137205	974	972	933
chr01	2180000	2190000	142350	156545	134415	965	1061	912
chr01	2190000	2200000	148098	154926	157566	1003	1049	1070
chr01	2200000	2210000	146578	151762	156190	995	1026	1057
chr01	2210000	2220000	145635	155655	152323	988	1055	1033
chr01	2220000	2230000	152167	140883	145597	1028	954	980
chr01	2230000	2240000	159808	148985	144523	1083	1011	980
chr01	2240000	2250000	143896	154492	153877	971	1045	1043
chr01	2250000	2260000	151211	160484	152567	1024	1085	1032
chr01	2260000	2270000	145219	149338	144907	986	1005	979
chr01	2270000	2280000	141767	151585	148163	963	1024	1003
chr01	2280000	2290000	151075	154296	139585	1025	1043	947
chr01	2290000	2300000	141852	153167	141180	957	1038	957
chr01	2300000	2310000	147092	159921	150238	990	1085	1020
chr01	2310000	2320000	140893	157209	149034	955	1063	1013
chr01	2320000	2330000	139836	145974	141971	947	989	959
chr01	2330000	2340000	151280	153035	142379	1022	1035	961
chr01	2340000	2350000	162001	146698	142578	1091	993	970
chr01	2350000	2360000	140867	164775	149502	950	1120	1010
chr01	2360000	2370000	141799	154307	145007	962	1048	984
chr01	2370000	2380000	133732	147018	141323	910	994	959
chr01	2380000	2390000	146930	144833	155792	992	982	1055
chr01	2390000	2400000	147522	156424	154706	999	1058	1046
chr01	2400000	2410000	146713	148614	144683	991	1007	977
chr01	2410000	2420000	149966	152193	147793	1014	1028	997
chr01	2420000	2430000	155362	154055	148855	1044	1041	1010
chr01	2430000	2440000	144927	145482	140406	978	980	950
chr01	2440000	2450000	165454	150364	150022	1123	1019	1014
chr01	2450000	2460000	147397	138473	139524	998	940	941
chr01	2460000	2470000	150880	158582	136844	1018	1072	926
chr01	2470000	2480000	131895	156993	148844	894	1060	1003
chr01	2480000	2490000	141394	148351	156484	956	1006	1062
chr01	2490000	2500000	146368	161105	143344	986	1090	973
chr01	2500000	2510000	151774	160999	151326	1028	1088	1024
chr01	2510000	2520000	149399	148814	140149	1009	1007	949
chr01	2520000	2530000	151922	148778	155113	1030	1001	1051
chr01	2530000	2540000	147961	158033	141579	1005	1068	957
chr01	2540000	2550000	158571	142864	140173	1073	968	948
chr01	2550000	2560000	134143	143717	142546	907	981	971
chr01	2560000	2570000	143031	139488	155404	963	950	1051
chr01	2570000	2580000	159083	144996	148259	1075	982	1003
chr01	2580000	2590000	153683	144013	148994	1037	971	1012
chr01	2590000	2600000	149488	148647	161384	1009	1010	1093
chr01	2600000	2610000	138757	150612	146010	947	1019	989
chr01	2610000	2620000	154127	146261	147779	1042	988	1001
chr01	2620000	2630000	141251	154672	145963	950	1047	996
chr01	2630000	2640000	149635	153742	147860	1010	1038	1001
chr01	2640000	2650000	153303	147983	141959	1038	995	956
chr01	2650000	2660000	155219	162531	150062	1048	1099	1014
chr01	2660000	2670000	152114	140001	149264	1031	946	1014
chr01	2670000	2680000	156142	157433	143401	1059	1060	970
chr01	2680000	2690000	155063	146784	142028	1052	989	961
chr01	2690000	2700000	146655	155064	150639	993	1049	1016
chr01	2700000	2710000	141088	147372	150118	956	997	1012
chr01	2710000	2720000	146614	141911	148536	1003	959	1002
chr01	2720000	2730000	148356	155853	146265	1002	1051	989
chr01	2730000	2740000	145783	149448	140186	991	1011	947
chr01	2740000	2750000	149392	155580	137775	1015	1056	931
chr01	2750000	2760000	151872	159366	140417	1032	1083	948
chr01	2760000	2770000	149591	150088	160950	1014	1019	1091
chr01	2770000	2780000	155905	146646	149345	1053	992	1009
chr01	2780000	2790000	145218	143111	136067	983	971	916
chr01	2790000	2800000	139684	151027	140852	945	1019	952
chr01	2800000	2810000	149925	156380	143106	1017	1055	973
chr01	2810000	2820000	140267	155908	135010	946	1054	914
chr01	2820000	2830000	144487	162031	148581	980	1100	1004
chr01	2830000	2840000	138887	154708	149834	946	1052	1014
chr01	2840000	2850000	149772	161881	149371	1010	1102	1008
chr01	2850000	2860000	148405	150482	147402	1006	1016	1002
chr01	2860000	2870000	150683	151036	151266	1012	1021	1028
chr01	2870000	2880000	139500	144928	149728	940	982	1012
chr01	2880000	2890000	150459	144955	147586	1016	985	1000
chr01	2890000	2900000	149608	147006	148318	1013	990	1003
chr01	2900000	2910000	152995	142931	129050	1033	965	877
chr01	2910000	2920000	139106	144564	149726	944	974	1013
chr01	2920000	2930000	145636	145409	144151	986	982	975
chr01	2930000	2940000	140646	149283	147405	951	1008	993
chr01	2940000	2950000	148452	149404	143188	1009	1008	973
chr01	2950000	2960000	147250	159796	149429	996	1079	1024
chr01	2960000	2970000	150664	148133	151581	1018	999	1033
chr01	2970000	2980000	153001	148391	145955	1035	1001	994
chr01	2980000	2990000	146969	150385	143597	994	1017	972
chr01	2990000	3000000	144173	148449	148429	978	1005	1005
chr01	3000000	3010000	149730	154205	150614	1018	1049	1017
chr01	3010000	3020000	142184	147783	149709	960	1000	1007
chr01	3020000	3030000	149681	146283	146741	1009	989	990
chr01	3030000	3040000	152158	154406	156285	1030	1042	1057
chr01	3040000	3050000	155002	153791	148633	1049	1039	1004
chr01	3050000	3060000	157333	153854	156783	1063	1045	1064
chr01	3060000	3070000	143998	161749	145420	972	1097	987
chr01	3070000	3080000	160807	148568	143930	1087	1007	979
chr01	3080000	3090000	143843	153255	164335	978	1039	1120
chr01	3090000	3100000	157353	153694	144510	1067	1035	984
chr01	3100000	3110000	148249	0	142948	1000	0	961
chr01	3110000	3120000	150557	0	140890	1021	0	952
chr01	3120000	3130000	142244	0	150991	964	0	1020
chr01	3130000	3140000	145141	0	136568	983	0	925
chr01	3140000	3150000	142055	0	141091	959	0	956
chr01	3150000	3160000	151218	0	149007	1024	0	1011
chr01	3160000	3170000	143000	0	161241	974	0	1093
chr01	3170000	3180000	150655	0	151821	1019	0	1026
chr01	3180000	3190000	132591	0	141181	894	0	952
chr01	3190000	3200000	151349	0	149123	1025	0	1006
chr01	3200000	3210000	150054	137831	141628	1018	932	966
chr01	3210000	3220000	155079	155768	132055	1048	1046	898
chr01	3220000	3230000	147174	162511	136925	996	1097	923
chr01	3230000	3240000	146099	146335	148119	989	994	1003
chr01	3240000	3250000	139789	143138	135364	944	971	920
chr01	3250000	3260000	153103	154938	147388	1035	1051	1000
chr01	3260000	3270000	151529	141481	145870	1030	963	981
chr01	3270000	3280000	138074	160043	140853	935	1081	952
chr01	3280000	3290000	153495	148139	149474	1038	1004	1007
chr01	3290000	3300000	144027	153953	142665	971	1044	969
chr01	3300000	3310000	144356	155721	151649	970	1056	1026
chr01	3310000	3320000	153327	145807	150853	1038	987	1019
chr01	3320000	3330000	146043	153673	139461	991	1035	944
chr01	3330000	3340000	144869	144162	152626	982	977	1040
chr01	3340000	3350000	148644	154585	140897	1002	1050	961
chr01	3350000	3360000	148879	154964	149476	1006	1047	1012
chr01	3360000	3370000	133018	139507	147241	904	947	994
chr01	3370000	3380000	157476	147150	158902	1065	1003	1073
chr01	3380000	3390000	153946	153452	135008	1038	1042	916
chr01	3390000	3400000	143421	153608	140905	970	1042	956
chr01	3400000	3410000	163228	147345	162934	1108	992	1098
chr01	3410000	3420000	143999	153144	150137	976	1038	1020
chr01	3420000	3430000	144487	144762	143452	981	981	974
chr01	3430000	3440000	150653	143267	141052	1021	968	957
chr01	3440000	3450000	153347	156844	144322	1040	1056	981
chr01	3450000	3460000	132185	152482	154236	894	1030	1044
chr01	3460000	3470000	140053	146002	136362	948	991	928
chr01	3470000	3480000	152024	156667	151049	1027	1059	1021
chr01	3480000	3490000	155443	157147	145146	1051	1066	977
chr01	3490000	3500000	144919	146247	159182	981	989	1079
chr01	3500000	3510000	144909	153793	156991	979	1040	1062
chr01	3510000	3520000	142008	160153	139460	960	1082	942
chr01	3520000	3530000	154708	151624	160323	1048	1033	1084
chr01	3530000	3540000	138173	158004	142831	928	1070	972
chr01	3540000	3550000	149732	152738	154239	1011	1035	1041
chr01	3550000	3560000	149408	156590	142984	1010	1057	969
chr01	3560000	3570000	142054	140419	156327	965	949	1060
chr01	3570000	3580000	157890	158209	153874	1064	1068	1046
chr01	3580000	3590000	150348	149727	157232	1015	1020	1067
chr01	3590000	3600000	147638	146040	150395	998	990	1012
chr01	3600000	3610000	143139	148420	138914	970	1004	937
chr01	3610000	3620000	154847	155766	142812	1044	1055	966
chr01	3620000	3630000	161559	145651	153940	1090	989	1035
chr01	3630000	3640000	140319	147110	137718	944	995	933
chr01	3640000	3650000	136427	149822	143571	920	1015	976
chr01	3650000	3660000	152711	148432	153456	1033	1010	1041
chr01	3660000	3670000	140909	151582	146349	956	1026	991
chr01	3670000	3680000	147699	145565	152082	999	983	1029
chr01	3680000	3690000	148364	141729	148030	1007	952	1001
chr01	3690000	3700000	151678	138648	152362	1027	939	1033
chr01	3700000	3710000	141666	155024	148760	957	1050	1008
chr01	3710000	3720000	137992	149005	142705	936	1013	965
chr01	3720000	3730000	152980	152467	148764	1042	1039	1007
chr01	3730000	3740000	136208	149952	137382	921	1010	931
chr01	3740000	3750000	137058	154344	152302	928	1043	1034
chr01	3750000	3760000	154828	140518	142221	1045	957	965
chr01	3760000	3770000	137471	153899	142601	929	1042	968
chr01	3770000	3780000	140263	153366	137401	949	1040	931
chr01	3780000	3790000	143862	141059	159085	972	958	1079
chr01	3790000	3800000	147091	148507	153282	994	1005	1040
chr01	3800000	3810000	151221	164651	154267	1026	1108	1046
chr01	3810000	3820000	150507	141387	146852	1016	952	998
chr01	3820000	3830000	146794	159223	140578	995	1078	950
chr01	3830000	3840000	150415	152899	149181	1020	1033	1005
chr01	3840000	3850000	157509	157453	142585	1066	1066	963
chr01	3850000	3860000	160849	152047	152428	1093	1033	1034
chr01	3860000	3870000	148583	159649	135997	1007	1082	920
chr01	3870000	3880000	149304	154607	151223	1013	1045	1021
chr01	3880000	3890000	141574	150981	146214	958	1021	989
chr01	3890000	3900000	162832	159262	144508	1101	1074	975
chr01	3900000	3910000	142436	153664	152767	965	1040	1030
chr01	3910000	3920000	141833	159809	148217	963	1078	1003
chr01	3920000	3930000	151681	165336	139600	1024	1118	947
chr01	3930000	3940000	152572	156961	148690	1031	1060	1003
chr01	3940000	3950000	149434	170259	139917	1008	1150	950
chr01	3950000	3960000	158374	160523	151414	1065	1089	1034
chr01	3960000	3970000	135766	159754	156022	919	1078	1054
chr01	3970000	3980000	150737	150285	133305	1019	1014	910
chr01	3980000	3990000	136345	147179	158408	922	1002	1075
chr01	3990000	4000000	144465	152955	152456	979	1032	1032
chr01	4000000	4010000	131703	159753	157892	890	1076	1075
chr01	4010000	4020000	151435	148619	142446	1020	1004	964
chr01	4020000	4030000	142067	144242	148030	961	979	1004
chr01	4030000	4040000	146686	154286	146515	995	1051	995
chr01	4040000	4050000	144516	149537	151199	980	1007	1022
chr01	4050000	4060000	140666	147430	141533	952	999	959
chr01	4060000	4070000	141043	149187	147703	955	1013	999
chr01	4070000	4080000	150368	156120	152414	1009	1058	1026
chr01	4080000	4090000	142870	157637	156671	964	1067	1056
chr01	4090000	4100000	150272	162120	141839	1015	1096	967
chr01	4100000	4110000	143119	155046	146849	968	1047	1001
chr01	4110000	4120000	145611	146976	142842	982	999	967
chr01	4120000	4130000	147509	148943	150805	997	1007	1021
chr01	4130000	4140000	139253	156139	137091	939	1053	927
chr01	4140000	4150000	149196	154629	147227	1006	1044	994
chr01	4150000	4160000	154795	153949	128970	1057	1042	869
chr01	4160000	4170000	145770	165052	141524	985	1111	955
chr01	4170000	4180000	154565	150556	159553	1048	1017	1080
chr01	4180000	4190000	154707	146287	157770	1051	993	1069
chr01	4190000	4200000	155452	152579	144072	1053	1036	973
chr01	4200000	4210000	150555	152241	140340	1020	1030	948
chr01	4210000	4220000	144657	151922	155787	978	1029	1053
chr01	4220000	4230000	152778	156351	141477	1035	1050	953
chr01	4230000	4240000	141347	143690	153845	955	970	1036
chr01	4240000	4250000	143584	141964	150466	977	965	1017
chr01	4250000	4260000	152218	149694	145619	1030	1014	987
chr01	4260000	4270000	134559	146682	149245	910	989	1012
chr01	4270000	4280000	150442	150556	139226	1018	1018	940
chr01	4280000	4290000	137579	148121	146815	930	1002	989
chr01	4290000	4300000	156131	148991	144796	1061	1008	980
chr01	4300000	4310000	150801	143717	121044	1027	969	820
chr01	4310000	4320000	138282	163127	155901	937	1106	1049
chr01	4320000	4330000	145789	157049	143920	984	1058	972
chr01	4330000	4340000	151623	147729	152050	1024	994	1032
chr01	4340000	4350000	156622	150406	145759	1061	1017	991
chr01	4350000	4360000	135285	134814	153727	912	917	1044
chr01	4360000	4370000	146655	137246	163770	990	925	1116
chr01	4370000	4380000	149893	147091	162063	1011	994	1101
chr01	4380000	4390000	145971	153227	147751	985	1037	1000
chr01	4390000	4400000	146968	154554	151201	993	1049	1023
chr01	4400000	4410000	144688	140205	142111	982	951	959
chr01	4410000	4420000	144688	148335	149806	984	1002	1018
chr01	4420000	4430000	151520	147130	141394	1024	993	959
chr01	4430000	4440000	154850	141135	148531	1049	954	1008
chr01	4440000	4450000	146116	145794	151459	993	987	1023
chr01	4450000	4460000	149741	154696	153653	1014	1043	1040
chr01	4460000	4470000	145452	143422	145915	981	967	993
chr01	4470000	4480000	147638	153230	161325	1000	1030	1088
chr01	4480000	4490000	149838	148409	149271	1015	1001	1009
chr01	4490000	4500000	148893	158234	135090	1007	1068	914
chr01	4500000	4510000	139931	150940	151899	951	1024	1033
chr01	4510000	4520000	140046	151654	149600	954	1029	1015
chr01	4520000	4530000	147609	152384	138617	1000	1031	939
chr01	4530000	4540000	141281	161549	148006	950	1089	996
chr01	4540000	4550000	143057	156480	155360	965	1056	1047
chr01	4550000	4560000	143946	153098	141216	972	1037	954
chr01	4560000	4570000	147831	145103	147752	994	986	1001
chr01	4570000	4580000	141559	157836	155189	956	1071	1048
chr01	4580000	4590000	138391	140244	145597	937	949	989
chr01	4590000	4600000	141207	146131	139523	959	989	946
chr01	4600000	4610000	145546	161416	148707	984	1086	1012
chr01	4610000	4620000	138080	139609	140849	935	942	954
chr01	4620000	4630000	125199	138724	144846	855	937	978
chr01	4630000	4640000	141672	163085	151755	958	1104	1024
chr01	4640000	4650000	167231	140963	148299	1128	962	1003
chr01	4650000	4660000	141111	140649	148905	954	954	1009
chr01	4660000	4670000	146038	145629	140829	988	989	952
chr01	4670000	4680000	141889	151552	146956	957	1026	994
chr01	4680000	4690000	146002	156590	150807	986	1057	1017
chr01	4690000	4700000	145438	165957	156025	978	1123	1056
chr01	4700000	4710000	147188	150953	146794	995	1021	991
chr01	4710000	4720000	137996	145792	152211	932	988	1023
chr01	4720000	4730000	140318	152562	147744	949	1036	995
chr01	4730000	4740000	150827	165879	150859	1023	1120	1018
chr01	4740000	4750000	150620	155610	142348	1020	1052	964
chr01	4750000	4760000	153066	161814	159254	1033	1093	1075
chr01	4760000	4770000	148130	144534	154897	998	978	1046
chr01	4770000	4780000	149102	156196	141368	1002	1053	953
chr01	4780000	4790000	153544	151645	145714	1042	1026	984
chr01	4790000	4800000	136898	157618	142428	926	1067	965
chr01	4800000	4810000	153162	163800	141875	1037	1108	959
chr01	4810000	4820000	138399	157425	146916	938	1069	996
chr01	4820000	4830000	147885	143663	145558	999	975	989
chr01	4830000	4840000	153125	152968	150147	1038	1033	1015
chr01	4840000	4850000	153453	151968	153890	1038	1027	1038
chr01	4850000	4860000	139261	146523	152308	940	988	1028
chr01	4860000	4870000	155029	151734	143851	1049	1027	973
chr01	4870000	4880000	149648	159065	145415	1014	1070	982
chr01	4880000	4890000	140148	153062	137780	953	1039	935
chr01	4890000	4900000	143042	158411	144482	964	1071	977
chr01	4900000	4910000	148042	152707	141243	1001	1033	955
chr01	4910000	4920000	162604	165546	140863	1103	1124	954
chr01	4920000	4930000	148072	154895	146025	1005	1047	986
chr01	4930000	4940000	143892	137570	145331	979	929	983
